                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2715,                 2.8618,                 2.2115,                 1.3254,                0.51942,                0.45605,                0.42717,                0.29025,                0.53917,                0.43449,                0.40821,                0.23093,                 1.2156,                 2.3741,                 1.6089,                 1.2799,             0.00022131,             0.00022131,             0.00022131
                      2,                 1.1143,                 2.2375,                  1.285,                  1.193,                0.55855,                0.55151,                0.54189,                 0.3517,                0.61135,                0.49725,                0.51487,                0.29244,                 1.2298,                 2.2839,                 1.3808,                 1.2861,             0.00043486,             0.00043486,             0.00043486
                      3,                 1.1127,                 2.1773,                 1.1733,                 1.1895,                0.63422,                0.60058,                 0.6131,                0.39659,                0.62172,                0.57756,                0.58156,                0.34666,                 1.2293,                 2.1498,                 1.2484,                 1.2755,             0.00063961,             0.00063961,             0.00063961
                      4,                 1.0848,                 2.0967,                 1.1056,                 1.1701,                0.66431,                0.61859,                0.63926,                0.41906,                0.67325,                0.59493,                0.61931,                0.36079,                 1.1618,                 2.0562,                 1.1783,                 1.2436,             0.00062738,             0.00062738,             0.00062738
                      5,                  1.059,                 2.0428,                  1.042,                   1.16,                 0.7087,                0.64878,                0.68407,                0.46029,                0.71273,                0.63234,                0.66363,                0.39264,                 1.1198,                 1.9942,                 1.0833,                 1.2105,             0.00061417,             0.00061417,             0.00061417
                      6,                 1.0373,                 1.9927,                 1.0056,                 1.1453,                0.64618,                0.64284,                 0.6614,                0.44665,                0.65014,                0.63806,                0.64953,                0.38356,                  1.133,                 1.9478,                  1.089,                 1.2119,             0.00060097,             0.00060097,             0.00060097
                      7,                 1.0186,                 1.9376,                0.96351,                 1.1307,                 0.7067,                0.67992,                0.70246,                0.47601,                0.68931,                0.66503,                0.67531,                0.41176,                 1.1057,                 1.9377,                 1.0294,                 1.1886,             0.00058776,             0.00058776,             0.00058776
                      8,                 1.0041,                  1.897,                0.94162,                 1.1216,                0.71193,                0.68917,                0.70464,                0.47698,                0.70845,                0.68468,                0.69116,                 0.4248,                 1.0987,                 1.8598,                 1.0037,                    1.2,             0.00057455,             0.00057455,             0.00057455
                      9,                0.98987,                 1.8683,                0.91258,                 1.1119,                0.71266,                0.69044,                0.71785,                0.48875,                0.71761,                0.67898,                0.70617,                0.42432,                  1.059,                 1.8647,                0.99459,                 1.1666,             0.00056135,             0.00056135,             0.00056135
                     10,                0.97459,                 1.8442,                0.89755,                 1.1021,                0.71473,                0.68374,                 0.7164,                0.49481,                0.71224,                0.68336,                0.70678,                0.42611,                  1.044,                 1.8436,                0.98585,                 1.1556,             0.00054814,             0.00054814,             0.00054814
                     11,                0.95859,                 1.8109,                0.87843,                 1.0976,                0.72881,                0.71018,                0.72889,                0.50318,                0.72205,                0.70126,                0.71812,                0.43627,                 1.0386,                 1.8296,                0.95936,                 1.1598,             0.00053493,             0.00053493,             0.00053493
                     12,                0.95274,                 1.7912,                 0.8511,                 1.0881,                0.71508,                0.70056,                0.72857,                0.50215,                0.72145,                0.69064,                0.71858,                0.43778,                 1.0557,                 1.8243,                0.95232,                 1.1583,             0.00052173,             0.00052173,             0.00052173
                     13,                0.94848,                 1.7735,                0.84062,                 1.0881,                 0.7392,                0.70533,                0.73589,                 0.5134,                0.75215,                0.69081,                0.72577,                0.43877,                 1.0375,                 1.8348,                0.93595,                 1.1547,             0.00050852,             0.00050852,             0.00050852
                     14,                0.93288,                 1.7407,                0.81985,                 1.0778,                 0.7356,                0.69723,                0.72441,                0.50202,                0.74312,                0.69268,                 0.7182,                0.44264,                 1.0474,                 1.8218,                0.96511,                 1.1594,             0.00049531,             0.00049531,             0.00049531
                     15,                0.91952,                 1.7262,                0.81511,                 1.0733,                0.72876,                0.71916,                0.74014,                0.51654,                0.75793,                0.69377,                0.73098,                0.44686,                 1.0246,                 1.7672,                0.93432,                 1.1461,             0.00048211,             0.00048211,             0.00048211
                     16,                0.92109,                 1.6994,                0.79507,                 1.0702,                0.74461,                0.72095,                0.74707,                0.52215,                0.75453,                 0.7024,                 0.7347,                0.45649,                  1.026,                 1.7837,                0.91655,                 1.1426,              0.0004689,              0.0004689,              0.0004689
                     17,                0.91399,                 1.6724,                0.78749,                 1.0678,                0.73953,                0.71511,                0.74106,                0.52087,                0.73949,                0.71642,                 0.7318,                0.45186,                 1.0136,                 1.7832,                0.91602,                 1.1397,             0.00045569,             0.00045569,             0.00045569
                     18,                 0.8999,                   1.66,                0.76987,                 1.0615,                 0.7581,                0.72261,                0.75128,                0.52192,                0.75259,                0.71953,                 0.7392,                0.44912,                 1.0206,                 1.8271,                0.89114,                 1.1449,             0.00044249,             0.00044249,             0.00044249
                     19,                0.89865,                 1.6428,                0.76544,                 1.0574,                0.73594,                0.73244,                 0.7504,                0.52576,                0.74559,                0.71298,                0.73558,                0.45157,                 1.0301,                 1.8025,                0.89208,                  1.154,             0.00042928,             0.00042928,             0.00042928
                     20,                0.89115,                 1.6265,                0.75157,                 1.0496,                0.76434,                 0.7213,                0.74877,                0.52748,                0.75923,                0.70636,                0.72905,                0.44978,                 1.0086,                 1.7544,                0.90022,                 1.1479,             0.00041607,             0.00041607,             0.00041607
